asin,product_title,product_price,product_original_price,product_star_rating,product_num_ratings,product_num_offers,product_minimum_offer_price,is_best_seller,is_amazon_choice,is_prime,climate_pledge_friendly,sales_volume,delivery,has_variations
B086QCGQ8C,"AT&amp;T BL102-3 DECT 6.0 3-Handset Cordless Phone for Home with Answering Machine, Call Blocking, Caller ID Announcer, Audio Assist, Intercom, and Unsurpassed Range, Silver/Black",78.95,78.95,4.3,27240,3,38.25,False,False,False,False,3000,FREE delivery,False
B0CD99XXQY,"SAMSUNG Galaxy S23 FE AI Phone, 128GB Unlocked Android Smartphone, Long Battery Life, Premium Processor, Tough Gorilla Glass Display, Hi-Res 50MP Camera, US Version, 2023, Mint",499.99,599.99,4.5,1159,2,451.19,False,False,True,True,200,"FREE delivery Wed, Sep 25",True
B0CSF1MRRR,BLU G63 | 2023 | 3-Day Battery | Unlocked | 6.8” HD+ Infinity Display | 128/4GB | Dual 13MP Camera | US Version | US Warranty | Green,89.99,129.99,3.9,92,5,79.99,False,False,True,False,300,"FREE delivery Tue, Sep 24",False
B0CJCTW1C5,Nokia C2 2E | Android 11 (Go Edition) | Unlocked Smartphone | All Day Battery | 2/32GB | 5.7-Inch Screen | International Version | Blue,59.99,59.99,3.3,70,2,57.44,False,False,True,False,1000,"FREE delivery Tue, Sep 24",False
B08H8VZ6PV,Google Pixel 4a with 5G - Android Phone - New Unlocked Smartphone with Night Sight and Ultrawide Lens - Just Black,159.0,159.0,4.3,2927,18,153.28,False,False,True,False,500,"FREE delivery Tue, Sep 24",True
B01H1E3EAA,"AT&amp;T TRIMLINE 213 Corded Home Phone with Extra Big Buttons &amp; Visual Ringer. No AC Power Required, Improved Easy-Wall-Mount, Lighted Keypad, 10 Speed Dial Keys, Volume Control, Senior Friendly. White",17.56,19.95,4.4,315,2,13.28,False,False,True,False,900,"FREE delivery Tue, Sep 24 on $35 of items shipped by Amazon",False
B08L34JQ9C,"Samsung Galaxy S20 FE 5G, 128GB, Cloud Navy - Unlocked (Renewed)",166.99,166.99,3.9,7272,53,134.85,False,False,True,True,2000,"FREE delivery Fri, Sep 27",True
B0CHH6X6H2,Total by Verizon | Samsung Galaxy A03s | Locked | 32GB | 5000mAh Battery | 48MP Main Camera | 6.5-in. HD+Infinity-V Display | Black,49.99,49.99,3.8,276,3,49.21,False,False,True,False,1000,"FREE delivery Fri, Sep 27",False
B0C7LNLS9P,"TracFone Moto g Pure (2021), 32GB, Blue - Prepaid Smartphone (Locked/Renewed)",24.99,24.99,4.3,160,1,24.99,False,False,False,False,500,FREE delivery on $35 shipped by Amazon.Temporarily out of stock.,False
B0BZ9XNBRB,Google Pixel 7a - Unlocked Android Cell Phone - Smartphone with Wide Angle Lens and 24-Hour Battery - 128 GB – Charcoal,344.95,499.0,4.3,2482,21,318.0,False,False,False,True,1000,FREE delivery,True
